,Tokens,Occurences
0,po,"[('2Ben.txt', 1)]"
1,debtor,"[('1Amy.txt', 1)]"
2,improv,"[('2Ben.txt', 3), ('3Carrie.txt', 1)]"
3,foundat,"[('3Carrie.txt', 1)]"
4,citco,"[('1Amy.txt', 3), ('2Ben.txt', 5), ('3Carrie.txt', 1)]"
5,pack,"[('1Amy.txt', 1)]"
6,dividend,"[('3Carrie.txt', 1)]"
7,audit,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 2)]"
8,trader,"[('3Carrie.txt', 1)]"
9,liais,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
10,12,"[('3Carrie.txt', 1)]"
11,streamlin,"[('3Carrie.txt', 1)]"
12,remitt,"[('1Amy.txt', 1)]"
13,trade,"[('2Ben.txt', 1)]"
14,jan,"[('1Amy.txt', 2), ('2Ben.txt', 2)]"
15,human,"[('2Ben.txt', 1)]"
16,versu,"[('2Ben.txt', 1)]"
17,50,"[('3Carrie.txt', 1)]"
18,london,"[('2Ben.txt', 1)]"
19,analyt,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
20,declar,"[('2Ben.txt', 1)]"
21,calcul,"[('1Amy.txt', 2), ('3Carrie.txt', 1)]"
22,network,"[('3Carrie.txt', 1)]"
23,10,"[('3Carrie.txt', 3)]"
24,8,"[('3Carrie.txt', 1)]"
25,deriv,"[('2Ben.txt', 1)]"
26,activ,"[('2Ben.txt', 1)]"
27,sharehold,"[('3Carrie.txt', 1)]"
28,offic,"[('1Amy.txt', 1), ('2Ben.txt', 5), ('3Carrie.txt', 2)]"
29,incom,"[('2Ben.txt', 1)]"
30,disciplin,"[('1Amy.txt', 1)]"
31,9,"[('3Carrie.txt', 1)]"
32,better,"[('2Ben.txt', 1)]"
33,troubleshoot,"[('3Carrie.txt', 1)]"
34,author,"[('2Ben.txt', 1)]"
35,norga,"[('1Amy.txt', 1)]"
36,process,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
37,standard,"[('1Amy.txt', 2), ('3Carrie.txt', 1)]"
38,check,"[('1Amy.txt', 1)]"
39,invoic,"[('1Amy.txt', 1)]"
40,maintain,"[('1Amy.txt', 1), ('2Ben.txt', 2), ('3Carrie.txt', 1)]"
41,desktop,"[('3Carrie.txt', 1)]"
42,mar,"[('3Carrie.txt', 2)]"
43,languag,"[('1Amy.txt', 2), ('3Carrie.txt', 2)]"
44,pre,"[('1Amy.txt', 1)]"
45,reduc,"[('3Carrie.txt', 3)]"
46,powerpoint,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
47,http,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
48,counter,"[('2Ben.txt', 1)]"
49,help,"[('2Ben.txt', 1)]"
50,new,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
51,copyright,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
52,use,"[('3Carrie.txt', 1)]"
53,4,"[('1Amy.txt', 1), ('3Carrie.txt', 2)]"
54,royal,"[('1Amy.txt', 1)]"
55,other,"[('3Carrie.txt', 1)]"
56,accur,"[('3Carrie.txt', 1)]"
57,sergeant,"[('1Amy.txt', 2)]"
58,workstat,"[('3Carrie.txt', 1)]"
59,will,"[('2Ben.txt', 1)]"
60,exist,"[('2Ben.txt', 2)]"
61,technic,"[('3Carrie.txt', 1)]"
62,60,"[('1Amy.txt', 1)]"
63,independ,"[('1Amy.txt', 1)]"
64,qualiti,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
65,migrat,"[('1Amy.txt', 1), ('2Ben.txt', 2), ('3Carrie.txt', 3)]"
66,consist,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
67,outsourc,"[('3Carrie.txt', 1)]"
68,forc,"[('1Amy.txt', 1)]"
69,major,"[('1Amy.txt', 1)]"
70,interest,"[('1Amy.txt', 1)]"
71,full,"[('1Amy.txt', 3), ('2Ben.txt', 2), ('3Carrie.txt', 4)]"
72,solv,"[('1Amy.txt', 1)]"
73,alloc,"[('2Ben.txt', 1)]"
74,provid,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
